source_row_index,token,symbol,quote_address,quote_symbol,quote_decimals,base_decimals,quote_metadata_block,quote_metadata_scope,historical_quote_verified,native_quote_supported,confirmation_time,assumed_entry_time,old_usd_fdv_proxy,fdv_proxy_quote_units,true_usd_fdv,price_basis,graduation_time,curve_venue_ended_at_entry,old_near_target_observation_present,old_near_target_price_proxy_negative,actual_execution_status,actual_pnl_bnb,buys_in_confirmation_window,sub_one_usdt_buy_count,sub_one_usdt_total_volume,trade_count,trades_with_block_log_tx_identity,audit_flags
200,0x00a5bffa85c0b2d28d453dc2883e2b5d39814444,MFY,0x46ceefda28dd7207059ed19b0acdc026955bb15c,GMEB,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1787049675.0,1787049678.0,201294.55873455605,274.179765905112,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,11,,,19,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor
456,0x0144c1a334356cd2e9698f786e453a520d3a4444,牛来人生,0x55d398326f99059ff775485246999027b3197955,USDT,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1788334648.0,1788334651.0,24184864.14232211,32941.77662165725,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,287,253,0.003687043977289525,1082,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor;usdt_fdv_proxy_below_50000_quote_units
325,0x0258c83e92719f716841bbc87e85cf65a0194444,猫来,0x55d398326f99059ff775485246999027b3197955,USDT,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1788693173.0,1788693176.0,27031405.23012233,36819.00000016662,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,234,230,0.20573447803927397,547,0,at_least_90pct_buys_below_one_usdt;execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor;usdt_fdv_proxy_below_50000_quote_units
100,0x031057dfaaa1450b29ea3f52a102982018254444,币分,0x46ceefda28dd7207059ed19b0acdc026955bb15c,GMEB,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1786885935.0,1786885938.0,592088.3351545769,806.4730718424573,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,94,,,538,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor
14,0x033f1bceae9f9a01f4af02298165d860bbeb4444,我踏牛来,0x55d398326f99059ff775485246999027b3197955,USDT,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1787143088.0,1787143091.0,26520695.33630262,36123.37106705888,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,59,51,0.5836541043468697,451,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor;usdt_fdv_proxy_below_50000_quote_units
466,0x037369970a945e2ff79137376117fd210d154444,神牛,0x55d398326f99059ff775485246999027b3197955,USDT,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1788677734.0,1788677737.0,26185471.157135338,35666.7681288194,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,187,155,0.00230407928038654,975,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor;usdt_fdv_proxy_below_50000_quote_units
365,0x038bb367a9aa2f0a487cc1b90f0e6d4cab5a4444,CZ CAT,0x55d398326f99059ff775485246999027b3197955,USDT,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1787737080.0,1787737083.0,25774830.37217575,35107.44156282026,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,123,109,0.49193738821810223,671,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor;usdt_fdv_proxy_below_50000_quote_units
216,0x0463d9a4b982d42937b6ec7c699c57dbd78effff,爹来,0x46ceefda28dd7207059ed19b0acdc026955bb15c,GMEB,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1786884913.0,1786884916.0,204221.96534837206,278.1671347894521,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,9,,,19,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor
249,0x0465aaf77538ec0107309d695c54a5343b2f4444,utility,0x46ceefda28dd7207059ed19b0acdc026955bb15c,GMEB,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1787023372.0,1787023375.0,195237.23573163824,265.92919314550886,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,5,,,12,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor
533,0x04777bcf8af4dcdbc46cde2736bfa80ad2c84444,BNB CAT,0x55d398326f99059ff775485246999027b3197955,USDT,18,18,122089910,later_snapshot_for_denomination_audit_only,False,False,1787552963.0,1787552966.0,24181243.270905793,32936.84469660405,,prior_trade_average_not_size_specific_quote,,,False,False,unknown,,34,0,0.0,1381,0,execution_unverified;graduation_event_time_unavailable;historical_state_unverified;incomplete_trade_provenance;no_recorded_x_signal;nonnative_quote_labeled_bnb;threshold_met_at_first_stored_buy;unsupported_by_current_native_executor;usdt_fdv_proxy_below_50000_quote_units
